#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-03T17:47:37 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-03T17:47:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/762/123/table1&-order=I&-out=Seq&-out=Name&-out=log(N)&-out=log(Mm/Mc)&-out=alpha&-out=e_alpha&-out=Mmin&-out=Mmax&-out=Dalpha&-out=Aut&-out=BibCode&-out=SimbadName&-out=NED&NED=NED&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17620123
#Name: J/ApJ/762/123
#Title: PHAT. IV. Initial Mass Function (Weisz+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/762/123	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/762/123	    IVOID of underlying data collection
#INFO	creator=Weisz D.R.	    First author or institution
#INFO	cites=bibcode:2013ApJ...762..123W	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/762/123	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17620123	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_762_123_table1:
#Name: J/ApJ/762/123/table1
#Title: Literature constraints on the IMF slope
#Column	Seq	(I2)	[1/89] Running sequence number	[ucd=meta.id]
#Column	Name	(a10)	Open cluster name	[ucd=meta.id;meta.main]
#Column	log(N)	(F5.2)	[0.7/3.4] Number of stars	[ucd=meta.number]
#Column	log(Mm/Mc)	(F5.2)	[0.1/1.1] Mass range (M_max,obs_/M_comp_)	[ucd=phys.mass;arith.ratio]
#Column	alpha	(F5.2)	[-0.1/4.5] MF slope {alpha} value (1)	[ucd=stat.fit.param]
#Column	e_alpha	(F5.2)	[0.03/1.8] 1{sigma} uncertainty on alpha	[ucd=stat.error;pos.eq.ra]
#Column	Mmin	(F4.1)	[0.4/10] Minimal star mass range M_min_ (1)	[ucd=phys.mass]
#Column	Mmax	(F5.1)	[1.9/120] Maximal star mass range M_max_ (1)	[ucd=phys.mass]
#Column	Dalpha	(F5.2)	[0.04/1.76] Ratio of literature to theory error {Delta}{alpha}_lit_/{Delta}{alpha}_th_ (2)	[ucd=stat.fit.omc]
#Column	Aut	(a17)	First author's name of the reference	[ucd=meta.bib.author]
#Column	BibCode	(A19)	Reference (bibcode)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F8.4)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Seq	Name	log(N)	log(Mm/Mc)	alpha	e_alpha	Mmin	Mmax	Dalpha	Aut	BibCode	SimbadName	NED	_RA	_DE
 	 	 	 	 	 	Msun	Msun	 	 	 	 	 	deg	deg
--	----------	-----	-----	-----	-----	----	-----	-----	-----------------	-------------------	-----------------------------	---	--------	--------
 1	NGC 2323  	 3.31	 0.99	 2.94	 0.15	 0.4	  3.9	 1.66	Kalirai et al.   	2003AJ....126.1402K	NGC 2323                     	NED	105.6979	-08.3378
 2	M11       	 3.26	 0.49	 2.49	 0.09	 1.1	  3.4	 0.32	Santos et al.    	2005A&A...442..201S	M11                          	NED	282.7708	-06.2700
 3	NGC 663   	 3.15	 0.80	 2.38	 0.22	 1.6	 10.0	 1.54	Pandey et al.    	2005MNRAS.358.1290P	NGC 663                      	NED	026.5375	+61.2350
 4	NGC 2168  	 3.00	 0.78	 2.29	 0.27	 0.6	  3.6	 1.76	Kalirai et al.   	2003AJ....126.1402K	NGC 2168                     	NED	092.2250	+24.3333
 5	NGC 2422  	 2.60	 0.44	 3.07	 0.08	 0.9	  2.5	 0.23	Prisinzano et al.	2003A&A...404..927P	NGC 2422                     	NED	114.1458	-14.4833
 6	Tr23      	 2.48	 0.32	 2.40	 0.60	 1.0	  2.1	 1.42	Bonatto & Bica   	2007MNRAS.377.1301B	Tr23                         	NED	240.2180	-53.5330
 7	Stock2    	 2.31	 0.44	 3.01	 0.40	 1.5	  4.1	 1.05	Sanner & Geffert 	2001A&A...370...87S	Stock2                       	NED	033.6792	+59.4850
 8	NGC 4852  	 2.30	 0.73	 2.30	 0.30	 0.6	  3.2	 1.38	Carraro et al.   	2005A&A...436..527C	NGC 4852                     	NED	195.0375	-59.6133
 9	NGC 654   	 2.26	 0.98	 2.16	 0.05	 1.2	 11.5	 0.41	Pandey et al.    	2005MNRAS.358.1290P	NGC 654                      	NED	026.0000	+61.8850
10	NGC 4349  	 2.21	 0.44	 2.18	 0.12	 1.8	  5.0	 0.30	Tarrab           	1982A&A...109..285T	NGC 4349                     	NED	186.0333	-61.8717
11	Orion     	 2.13	 1.04	 2.39	 0.15	 1.3	 14.1	 1.31	Tarrab           	1982A&A...109..285T	Orion                        	NED	083.8221	-05.3911
12	Pleiades  	 2.10	 0.61	 2.99	 0.40	 1.0	  4.1	 1.31	Sanner & Geffert 	2001A&A...370...87S	Pleiades                     	NED	056.7500	+24.1167
13	Ly9       	 2.09	 0.32	 2.10	 0.70	 1.1	  2.3	 1.41	Bonatto & Bica   	2007MNRAS.377.1301B	Cl Lynga 9                   	NED	245.1710	-48.5170
14	NGC 3532  	 2.06	 0.45	 2.55	 0.21	 1.6	  4.5	 0.50	Tarrab           	1982A&A...109..285T	NGC 3532                     	NED	166.4125	-58.7533
15	Ly4       	 2.02	 0.28	 2.30	 0.20	 1.0	  1.9	 0.37	Bonatto & Bica   	2007MNRAS.377.1301B	Cl Lynga 4                   	NED	233.3330	-55.2400
16	NGC 5715  	 1.97	 0.30	 2.30	 0.50	 1.1	  2.2	 0.92	Bonatto & Bica   	2007MNRAS.377.1301B	NGC 5715                     	NED	220.8750	-57.5670
17	CygOB2    	 1.97	 1.00	 1.90	 0.20	10.0	100.0	 1.48	Massey et al.    	1995ApJ...454..151M	Ass Cyg OB 2                 	NED	308.3000	+41.3167
18	alphaPer  	 1.95	 0.84	 2.73	 0.23	 1.3	  8.9	 1.14	Tarrab           	1982A&A...109..285T	NAME ALPHA PER CLUSTER       	NED	051.6750	+48.8000
19	Pleiades  	 1.94	 0.69	 2.89	 0.27	 1.3	  6.3	 0.93	Tarrab           	1982A&A...109..285T	Pleiades                     	NED	056.7500	+24.1167
20	LH9       	 1.92	 0.74	 2.40	 0.20	10.0	 55.0	 0.78	Massey et al.    	1995ApJ...454..151M	LH9                          	NED	074.1625	-66.4833
21	NGC 346   	 1.92	 0.85	 2.30	 0.10	10.0	 70.0	 0.50	Massey et al.    	1995ApJ...454..151M	NGC 346                      	NED	014.8250	-72.1800
22	Tr14/16   	 1.91	 1.08	 2.00	 0.20	10.0	120.0	 1.72	Massey et al.    	1995ApJ...454..151M	Cl Trumpler 14;Cl Trumpler 16	NED	160.9833	-59.5500
23	LH58      	 1.82	 0.70	 2.40	 0.20	10.0	 50.0	 0.66	Massey et al.    	1995ApJ...454..151M	LH58                         	NED	081.6875	-68.8317
24	Praesepe  	 1.81	 0.39	 3.12	 0.39	 1.3	  3.2	 0.72	Tarrab           	1982A&A...109..285T	Praesepe                     	NED	130.1000	+19.6667
25	LH10      	 1.81	 0.95	 2.10	 0.10	10.0	 90.0	 0.60	Massey et al.    	1995ApJ...454..151M	LH10                         	NED	074.2146	-66.4069
26	NGC 2516  	 1.81	 0.65	 2.95	 0.33	 2.0	  8.9	 0.97	Tarrab           	1982A&A...109..285T	NGC 2516                     	NED	119.5167	-60.7533
27	NGC 6067  	 1.80	 0.50	 3.18	 0.39	 4.0	 12.6	 0.85	Tarrab           	1982A&A...109..285T	NGC 6067                     	NED	243.2958	-54.2183
