# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Mar  5 18:00:22 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00012351 -2.10000 9.70000 0.0969537646 1.1451442648    0.097 -2.917  3.5358  5.436    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.36e-17      0.00 7.491e-01 2.508e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 12.063 15.220 14.557 13.582 12.936 12.560 11.443 11.295
0.00012351 -2.10000 9.70000 0.1001330838 1.1722171318    0.100 -2.843  3.5452  5.413    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-16      0.00 7.488e-01 2.511e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.878 14.854 14.223 13.290 12.657 12.283 11.260 11.120
0.00012351 -2.10000 9.70000 0.1068295985 1.2257492700    0.106 -2.695  3.5640  5.368    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-16      0.00 7.481e-01 2.517e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.508 14.143 13.568 12.725 12.121 11.758 10.888 10.764
0.00012351 -2.10000 9.70000 0.1265812516 1.3612057335    0.126 -2.439  3.5891  5.286    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-16      0.00 7.468e-01 2.531e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.305e-04 10.867 13.099 12.584 11.856 11.319 10.983 10.242 10.134
0.00012351 -2.10000 9.70000 0.1463329047 1.4716401990    0.146 -2.275  3.6015  5.235    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-16      0.00 7.458e-01 2.541e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.457 12.516 12.027 11.346 10.848 10.527 9.828 9.726
0.00012351 -2.10000 9.70000 0.1660845429 1.5642192292    0.166 -2.149  3.6095  5.196    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.54e-16      0.00 7.451e-01 2.548e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.142 12.094 11.621 10.969 10.495 10.185 9.509 9.411
0.00012351 -2.10000 9.70000 0.2055878639 1.7124988838    0.205 -1.944  3.6211  5.130    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.58e-16      0.00 7.443e-01 2.556e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.305e-04 9.631 11.441 10.988 10.373 9.931 9.637 8.992 8.900
0.00012351 -2.10000 9.70000 0.2549670041 1.8527730173    0.255 -1.747  3.6315  5.069    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-15      0.00 7.440e-01 2.558e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 9.138 10.828 10.393 9.807 9.394 9.112 8.495 8.406
0.00012351 -2.10000 9.70000 0.3043461442 1.9615366389    0.304 -1.592  3.6399  5.025    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.441e-01 2.558e-01 2.345e-05 6.330e-06 5.740e-05 -1.000 1.304e-04 8.750 10.348 9.926 9.363 8.970 8.699 8.102 8.018
0.00012351 -2.10000 9.70000 0.3537252247 2.0494811114    0.354 -1.464  3.6477  4.993    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-15      0.00 7.447e-01 2.552e-01 2.344e-05 6.330e-06 5.740e-05 -1.000 1.305e-04 8.431 9.950 9.541 8.997 8.621 8.358 7.779 7.698
